CO_CIR	NM_CIR	CO_UF	CO_IBGE	NM_MUNICIPIO	CO_MUNICIPIO	GRUPO
11001	Ariquemes	11	1100023	Ariquemes	110002	1
11001	Ariquemes	11	1100130	Machadinho D'Oeste	110013	1
11001	Ariquemes	11	1100262	Rio Crespo	110026	1
11001	Ariquemes	11	1100403	Alto Paraíso	110040	1
11001	Ariquemes	11	1100452	Buritis	110045	1
11001	Ariquemes	11	1100601	Cacaulândia	110060	1
11001	Ariquemes	11	1100700	Campo Novo de Rondônia	110070	1
11001	Ariquemes	11	1100940	Cujubim	110094	1
11001	Ariquemes	11	1101401	Monte Negro	110140	1
11002	Cacoal	11	1100049	Cacoal	110004	3
11002	Cacoal	11	1100098	Espigão D'Oeste	110009	3
11002	Cacoal	11	1100189	Pimenta Bueno	110018	3
11002	Cacoal	11	1101203	Ministro Andreazza	110120	3
11002	Cacoal	11	1101476	Primavera de Rondônia	110147	3
11002	Cacoal	11	1101484	São Felipe D'Oeste	110148	3
11003	Ji-Paraná	11	1100080	Costa Marques	110008	2
11003	Ji-Paraná	11	1100114	Jaru	110011	2
11003	Ji-Paraná	11	1100122	Ji-Paraná	110012	2
11003	Ji-Paraná	11	1100155	Ouro Preto do Oeste	110015	2
11003	Ji-Paraná	11	1100254	Presidente Médici	110025	2
11003	Ji-Paraná	11	1100346	Alvorada D'Oeste	110034	2
11003	Ji-Paraná	11	1101005	Governador Jorge Teixeira	110100	2
11003	Ji-Paraná	11	1101302	Mirante da Serra	110130	2
11003	Ji-Paraná	11	1101435	Nova União	110143	2
11003	Ji-Paraná	11	1101492	São Francisco do Guaporé	110149	2
11003	Ji-Paraná	11	1101559	Teixeirópolis	110155	2
11003	Ji-Paraná	11	1101609	Theobroma	110160	2
11003	Ji-Paraná	11	1101708	Urupá	110170	2
11003	Ji-Paraná	11	1101757	Vale do Anari	110175	2
11003	Ji-Paraná	11	1101807	Vale do Paraíso	110180	2
11004	Porto Velho	11	1100106	Guajará-Mirim	110010	3
11004	Porto Velho	11	1100205	Porto Velho	110020	3
11004	Porto Velho	11	1100338	Nova Mamoré	110033	3
11004	Porto Velho	11	1100809	Candeias do Jamari	110080	3
11004	Porto Velho	11	1101104	Itapuã do Oeste	110110	3
11005	Rolim de Moura	11	1100015	Alta Floresta D'Oeste	110001	1
11005	Rolim de Moura	11	1100148	Nova Brasilândia D'Oeste	110014	1
11005	Rolim de Moura	11	1100288	Rolim de Moura	110028	1
11005	Rolim de Moura	11	1100296	Santa Luzia D'Oeste	110029	1
11005	Rolim de Moura	11	1100320	São Miguel do Guaporé	110032	1
11005	Rolim de Moura	11	1100379	Alto Alegre dos Parecis	110037	1
