CO_IBGE	NM_MUNICIPIO	CO_MUNICIPIO
4300851	Arambaré	430085
4301107	Arroio dos Ratos	430110
4301750	Barão do Triunfo	430175
4301909	Barra do Ribeiro	430190
4302709	Butiá	430270
4303509	Camaquã	430350
4305173	Cerro Grande do Sul	430517
4305355	Charqueadas	430535
4305447	Chuvisca	430544
4306502	Dom Feliciano	430650
4306767	Eldorado do Sul	430676
4308805	General Câmara	430880
4309308	Guaíba	430930
4311981	Mariana Pimentel	431198
4312252	Minas do Leão	431225
4318408	São Jerônimo	431840
4320354	Sentinela do Sul	432035
4320552	Sertão Santana	432055
4321105	Tapes	432110
